expo,table,project,sponsors,link,category,special
1,42,OctoMed,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46637-octomed,Health,
1,43,Sugar Trails,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Blackstone Choice Prize, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best On-Demand Hack, sponsored by Postmates",http://pennapps-xiii.devpost.com/submissions/46641-sugar-trails,Health,
1,44,SayChef,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46644-saychef,Design,
1,45,streamtv,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiii.devpost.com/submissions/46645-streamtv,Hardware,
1,46,Reflectrum,"Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiii.devpost.com/submissions/46646-reflectrum,,
1,47,EveryBlockText,Best Use of Comcast Everyblock API,http://pennapps-xiii.devpost.com/submissions/46647-everyblocktext,Social Impact / Civic Hacking,
1,48,Zimali,"Best Use of Capital One Nessie API, Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46648-zimali,Social Impact / Civic Hacking,
1,49,Dalmify,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46649-dalmify,Social Impact / Civic Hacking,
1,50,What's His Name?,,http://pennapps-xiii.devpost.com/submissions/46650-what-s-his-name,Humor,
1,51,PayShare,"Best Use of Capital One Nessie API, Best Use of MongoDB, Blackstone Choice Prize, Best On-Demand Hack, sponsored by Postmates, Best Use of Linode Services, Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46651-payshare,Design,
1,52,glucoseAdviser,"Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46654-glucoseadviser,Health,
1,53,Composite Marriage,,http://pennapps-xiii.devpost.com/submissions/46657-composite-marriage,Humor,
1,54,VROOM,"Best Use of Johnson and Johnson OTR API - Most Entertaining, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiii.devpost.com/submissions/46658-vroom,Hardware,
1,55,Holla,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46663-holla,Design,
1,56,proScanner,"Blackstone Choice Prize, Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiii.devpost.com/submissions/46665-proscanner,VR/AR,
1,57,"Wait, Prof!",,http://pennapps-xiii.devpost.com/submissions/46666-wait-prof,Social Impact / Civic Hacking,
1,58,PolitiColor,"Blackstone Choice Prize, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46667-politicolor,Social Impact / Civic Hacking,
1,59,Mobile Management for Mass Casualties,"Best Use of MongoDB, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Linode Services",http://pennapps-xiii.devpost.com/submissions/46672-mobile-management-for-mass-casualties,Social Impact / Civic Hacking,
1,60,Data Visualization for Diabetes,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46673-data-visualization-for-diabetes,Health,
1,61,Sweet Heart,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46676-sweet-heart,Health,
1,62,Shakes Pear,,http://pennapps-xiii.devpost.com/submissions/46677-shakes-pear,Humor,
1,63,Story Time,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46681-story-time,Humor,
1,64,AirDino,Best Use of Linode Services,http://pennapps-xiii.devpost.com/submissions/46682-airdino,VR/AR,
1,65,VoiceWave,"Best Use of MongoDB, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Best Use of Linode Services",http://pennapps-xiii.devpost.com/submissions/46683-voicewave,Design,
1,66,Spooker,,http://pennapps-xiii.devpost.com/submissions/46684-spooker,Humor,
1,67,Rapandmath/Tapandmath,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46687-rapandmath-tapandmath,Humor,
1,68,smellsGud,,http://pennapps-xiii.devpost.com/submissions/46689-smellsgud,,
1,69,Bon AppeMeat!,,http://pennapps-xiii.devpost.com/submissions/46692-bon-appemeat,Social Impact / Civic Hacking,
1,70,Server,"Best On-Demand Hack, sponsored by Postmates",http://pennapps-xiii.devpost.com/submissions/46693-server,Design,
1,71,DoublCheck,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Best Use of Plaid API, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46695-doublcheck,,
1,72,Vivek's dope site.,,http://pennapps-xiii.devpost.com/submissions/46696-vivek-s-dope-site,,
1,73,Cogni Journal,"Best Use of Comcast Everyblock API, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46698-cogni-journal,Health,
1,74,eventfinder,,http://pennapps-xiii.devpost.com/submissions/46700-eventfinder,Social Impact / Civic Hacking,
1,75,berries.,"Best Use of MongoDB, Blackstone Choice Prize, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Linode Services, Best Use of the BlackRock Aladdin API, Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46701-berries,Humor,
1,76,LiveWheel,,http://pennapps-xiii.devpost.com/submissions/46705-livewheel,Social Impact / Civic Hacking,
1,77,Patches,"Best Use of MongoDB, Best Use of Linode Services",http://pennapps-xiii.devpost.com/submissions/46706-patches,Social Impact / Civic Hacking,
1,78,Deep S**t,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46707-deep-s-t,Humor,
1,79,"Bodyguard - Staying Safe, Together!","Best Use of MongoDB, Best Use of Comcast Everyblock API, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46708-bodyguard-staying-safe-together,Social Impact / Civic Hacking,
1,80,BT Tracker,Best Use of MongoDB,http://pennapps-xiii.devpost.com/submissions/46709-bt-tracker,Social Impact / Civic Hacking,
1,81,Penninsula,"Best Use of MongoDB, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46711-penninsula,Health,
1,82,HackTogether,,http://pennapps-xiii.devpost.com/submissions/46712-hacktogether,Social Impact / Civic Hacking,
1,83,Dr. Awesome,,http://pennapps-xiii.devpost.com/submissions/46713-dr-awesome,Health,
1,84,EmotiLearn,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46714-emotilearn,,
1,85,Driving Buddy,,http://pennapps-xiii.devpost.com/submissions/46715-driving-buddy,Hardware,
1,86,Kompact,,http://pennapps-xiii.devpost.com/submissions/46716-kompact,Design,
1,87,Kyle the Stress Penguin,,http://pennapps-xiii.devpost.com/submissions/46717-kyle-the-stress-penguin,Humor,
1,88,Expiration Stop,"Best Use of Comcast Everyblock API, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46719-expiration-stop,Social Impact / Civic Hacking,
1,89,Virtual Reality Mood Ring,,http://pennapps-xiii.devpost.com/submissions/46721-virtual-reality-mood-ring,Hardware,
1,90,Drawing is Hard,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Linode Services",http://pennapps-xiii.devpost.com/submissions/46722-drawing-is-hard,Design,
1,91,Recall ,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound, Blackstone Choice Prize, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46724-recall,Health,
1,92,Big Hero You,"Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46727-big-hero-you,Health,
1,93,Simple English,,http://pennapps-xiii.devpost.com/submissions/46728-simple-english,Health,
1,94,Physio-check,"Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Blackstone Choice Prize, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best On-Demand Hack, sponsored by Postmates, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46729-physio-check,Health,
1,95,Live Free,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Blackstone Choice Prize, Best On-Demand Hack, sponsored by Postmates, Best Use of Linode Services, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46731-live-free,Health,
1,96,ARDC,,http://pennapps-xiii.devpost.com/submissions/46732-ardc,VR/AR,
1,97,Alco-Mate䋢,"Best Use of Plaid API, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid, Best Use of Rapid Prototyping, sposnored by AddLab, Best On-Demand Hack, sponsored by Postmates, Best Use of Linode Services, Most Innovative Embedded Application, sponsored by L3 Communications",http://pennapps-xiii.devpost.com/submissions/46733-alco-mate,Hardware,
1,98,"Emerging Markets in the News, 2006-2016","Best Use of the BlackRock Aladdin API, Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46734-emerging-markets-in-the-news-2006-2016,Social Impact / Civic Hacking,
1,99,Parade Escapade,,http://pennapps-xiii.devpost.com/submissions/46735-parade-escapade,Design,
1,100,Augmented Reality Monster Card Game,,http://pennapps-xiii.devpost.com/submissions/46737-augmented-reality-monster-card-game,VR/AR,
1,101,Pokemon World,,http://pennapps-xiii.devpost.com/submissions/46738-pokemon-world,VR/AR,
1,102,Airduino Hockey,,http://pennapps-xiii.devpost.com/submissions/46739-airduino-hockey,Hardware,
1,103,AirTunes,"Best On-Demand Hack, sponsored by Postmates",http://pennapps-xiii.devpost.com/submissions/46741-airtunes,Design,
1,104,Mintmo,Best Use of Capital One Nessie API,http://pennapps-xiii.devpost.com/submissions/46743-mintmo,Social Impact / Civic Hacking,
1,105,Translated Talk,Blackstone Choice Prize,http://pennapps-xiii.devpost.com/submissions/46744-translated-talk,Social Impact / Civic Hacking,
1,106,VOX,,http://pennapps-xiii.devpost.com/submissions/46746-vox,Hardware,
1,107,Yepinn,"Best Use of MongoDB, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46747-yepinn,Social Impact / Civic Hacking,
1,108,Duelr,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46751-duelr,,
1,109,Lact-o-log,"Most Innovative Embedded Application, sponsored by L3 Communications, Best On-Demand Hack, sponsored by Postmates",http://pennapps-xiii.devpost.com/submissions/46752-lact-o-log,Health,
1,110,Stay Safe,"""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46753-stay-safe,Social Impact / Civic Hacking,
1,111,Marauder's Mapp,,http://pennapps-xiii.devpost.com/submissions/46755-marauder-s-mapp,Humor,
1,112,ChiProtego,"Best Use of MongoDB, Best Use of Comcast Everyblock API",http://pennapps-xiii.devpost.com/submissions/46759-chiprotego,Social Impact / Civic Hacking,
1,113,Abracadabra.js,Best Use of Linode Services,http://pennapps-xiii.devpost.com/submissions/46760-abracadabra-js,,
1,114,DDrivr - iOS Application,Best Use of Linode Services,http://pennapps-xiii.devpost.com/submissions/46761-ddrivr-ios-application,Social Impact / Civic Hacking,
1,115,DataDoc,"Best Use of Capital One Nessie API, Best Use of Johnson and Johnson OTR API - Most Entertaining, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Best Use of Linode Services, Best Use of MongoDB",http://pennapps-xiii.devpost.com/submissions/46762-datadoc,Health,
1,116,Bottl: Connecting Neighborhoods,"Best Use of Linode Services, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46763-bottl-connecting-neighborhoods,Design,
1,117,Sugar,"Best Use of Johnson and Johnson OTR API - Most Entertaining, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46764-sugar,Health,
1,118,Safe Ride,"Best On-Demand Hack, sponsored by Postmates, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46765-safe-ride,Social Impact / Civic Hacking,
1,119,Cardman,,http://pennapps-xiii.devpost.com/submissions/46766-cardman,VR/AR,
1,120,HighLites,"Blackstone Choice Prize, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46767-highlites,,
1,121,Dan-ial,,http://pennapps-xiii.devpost.com/submissions/46768-dan-ial,Humor,
1,122,JobsConnect,,http://pennapps-xiii.devpost.com/submissions/46769-jobsconnect,Social Impact / Civic Hacking,
1,123,Texty,"Best Financial Hack, sponsored by BlackRock",http://pennapps-xiii.devpost.com/submissions/46770-texty,Social Impact / Civic Hacking,
1,124,b AI thoven,"Blackstone Choice Prize, Best Use of Johnson and Johnson OTR API Warehouse Attributes - Most Creative, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46772-b-ai-thoven,Humor,
1,125,Next Pill,"Best Use of Rapid Prototyping, sposnored by AddLab",http://pennapps-xiii.devpost.com/submissions/46773-next-pill,Health,
1,126,IRIS,"Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46774-iris,,
1,127,SentiMeter,,http://pennapps-xiii.devpost.com/submissions/46775-sentimeter,Design,
1,128,meteor-dataObs,Best Use of MongoDB,http://pennapps-xiii.devpost.com/submissions/46776-meteor-dataobs,Design,
1,129,Reaction,,http://pennapps-xiii.devpost.com/submissions/46777-reaction,Humor,
1,130,favors,"Best On-Demand Hack, sponsored by Postmates, Best Use of Linode Services, Best Use of MongoDB",http://pennapps-xiii.devpost.com/submissions/46778-favors,Social Impact / Civic Hacking,
1,131,Halo,"Best Use of Rapid Prototyping, sposnored by AddLab, Most Innovative Embedded Application, sponsored by L3 Communications, Best Houndify API Hack - 1st Place, sponsored by SoundHound, Best Houndify API Hack - 2nd Place, sponsored by SoundHound, Best Houndify API Hack - 3rd Place [5 teams will win], sponsored by SoundHound",http://pennapps-xiii.devpost.com/submissions/46779-halo,Hardware,
1,132,Meek Mill's Worst Nightmare,,http://pennapps-xiii.devpost.com/submissions/46780-meek-mill-s-worst-nightmare,Humor,
1,133,MonitorMe,"Best Use of Linode Services, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46781-monitorme,Health,
1,134,Xpresscart,"Blackstone Choice Prize, Best On-Demand Hack, sponsored by Postmates, Best Use of Capital One Nessie API, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46783-xpresscart,Hardware,
1,135,Ink,"Best Use of Plaid API, Best Financial Hack, sponsored by BlackRock, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46784-ink,Humor,
1,136,ReFresh,"Best Financial Hack, sponsored by BlackRock, Most Innovative Embedded Application, sponsored by L3 Communications, Best On-Demand Hack, sponsored by Postmates",http://pennapps-xiii.devpost.com/submissions/46785-refresh,Health,
1,137,FeedBack,Best Use of MongoDB,http://pennapps-xiii.devpost.com/submissions/46786-feedback,Design,
1,138,Bike tRack,"Blackstone Choice Prize, Best Use of Rapid Prototyping, sposnored by AddLab, Most Innovative Embedded Application, sponsored by L3 Communications, Best Use of Linode Services, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46787-bike-track,Hardware,
1,139,Bowerbird,"Best On-Demand Hack, sponsored by Postmates, Best Use of Johnson and Johnson OTR API - Most Entertaining, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson, Best Use of MongoDB, ""We Know Where You Were Going With This One"" Prize, sponsored by Plaid",http://pennapps-xiii.devpost.com/submissions/46788-bowerbird,Health,
1,140,OkHacker,Best Use of MongoDB,http://pennapps-xiii.devpost.com/submissions/46789-okhacker,Social Impact / Civic Hacking,
1,141,MapPins,"Best Use of Linode Services, Best Use of Comcast Everyblock API",http://pennapps-xiii.devpost.com/submissions/46790-mappins,Social Impact / Civic Hacking,
1,142,Calmly,"Blackstone Choice Prize, Most Innovative Embedded Application, sponsored by L3 Communications, Best On-Demand Hack, sponsored by Postmates, Best App that Improves Diabetes Patients' Daily Lives, sponsored by Johnson and Johnson",http://pennapps-xiii.devpost.com/submissions/46791-calmly,Health,
